L(Downstream),w(perp)
3.33,2.36
2.55,1.65
2.72,2.84
6.67,5.05
1.47,4.05
5.36,4.98
4.92,8.02
5.37,5.19
4.08,2.43
2.58,2.13
2.4,3.36
4.7,2.09
2.85,1.83
4.51,4.38
7.89,9.55
11.47,11.2
15.9,13.89
8.836,9.07
2.14,6.63
2.2,3.37
3.98,5.65
4.31,6.07
7.98,8.39
13.35,14.74
2.43,2.43
5.67,4.56
5.34,5.79
4.3,3.36
11.39,10.29
6.3,5.2
